,Star ID,RA,DE,Magnitude
20189,20189,-0.36271948,1.10521545,5.2
20267,20267,-0.31462438,1.15082066,3.7
20397,20397,-0.25466703,1.16831463,5.5
20553,20553,-0.18954057,1.18399316,4.9
20613,20613,-0.16316428,1.08224638,5.2
20837,20837,-0.06888814,1.16072356,5.9
20852,20852,-0.06324825,1.17860344,5.0
20868,20868,-0.05939653,1.08099784,5.6
21008,21008,-0.00414413,1.06368417,5.7
21132,21132,0.02834233,1.02754694,2.4
21365,21365,0.09405238,0.9030863,5.4
21380,21380,0.09769306,0.92101005,5.7
21456,21456,0.12010491,1.04198629,5.9
21485,21485,0.12625727,0.91740997,5.7
21488,21488,0.12654089,0.94678057,4.9
21550,21550,0.14548091,0.9406165,5.1
21565,21565,0.14910443,0.93588152,3.7
21608,21608,0.16430189,0.98198332,2.5
21636,21636,0.17132007,0.87682976,4.9
21676,21676,0.1851057,0.95902812,5.5
21728,21728,0.20065979,0.88481149,5.0
21731,21731,0.20097795,1.00445226,3.6
21831,21831,0.22696641,1.02455205,5.0
21854,21854,0.23417229,1.02819775,4.8
22023,22023,0.28330228,0.95427312,5.3
22031,22031,0.28569346,1.01224234,5.7
22069,22069,0.29689171,0.95791582,4.5
22190,22190,0.33561962,1.01175806,5.3
22267,22267,0.3600831,1.04678236,2.8
22388,22388,0.39342238,1.0135335,6.0
22396,22396,0.39551074,1.02933057,4.9
22455,22455,0.41380637,1.00746916,5.7
22553,22553,0.43856903,0.8803049,4.2
22677,22677,0.4700859,0.9021206,5.9
22689,22689,0.47424422,0.9582004,5.5
22695,22695,0.47543344,0.88220532,5.6
22858,22858,0.51904173,0.94678784,5.0
22958,22958,0.54613309,1.0155542,5.9
23046,23046,0.56839018,0.88723381,5.4
23255,23255,0.60586247,0.97072023,5.2
23318,23318,0.62078991,0.87360051,4.9
23554,23554,0.69574512,0.95808191,5.7
23654,23654,0.72881569,0.97196625,4.0
23684,23684,0.7448088,0.91733487,4.1
23762,23762,0.77358266,0.91026736,5.4
